Batch,Accuracy_Before,Accuracy_After,Baseline_Est
2,82.8125,12.828947368421053,0.025707419030368328
3,22.916666666666668,58.072916666666664,-0.0030579494778066874
4,46.09375,63.28125,-0.032337088137865067
5,40.104166666666664,38.020833333333336,-0.06562773510813713
6,50.714285714285715,34.285714285714285,-0.1480862001578013
7,36.9140625,28.850446428571427,-0.17194132258494696
8,10.546875,12.890625,-0.19076576083898544
9,16.071428571428573,19.196428571428573,-0.2143635724981626
10,16.936383928571427,18.052455357142858,-0.22728473941485086
