Batch,Pass_Rate,Avg_Baseline
1,0.9865168539325843,0.03958765
2,0.5715434083601286,-1.4273677
5,0.9898477157360406,-0.18258928
8,0.9965986394557823,-0.24145259
10,0.9713888888888889,-0.27285257
